,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1737021685000,0.0
1737021690000,0.0
1737021695000,0.0
1737021700000,0.0
1737021705000,0.0
1737021710000,34.0
1737021715000,30.0
1737021720000,49.0
1737021725000,42.0
1737021730000,41.0
1737021735000,41.0
1737021740000,37.0
1737021745000,33.0
1737021750000,30.0
1737021755000,30.0
1737021760000,32.0
1737021765000,33.0
1737021770000,22.0
1737021775000,22.0
1737021780000,10.0
1737021785000,10.0
1737021790000,7.0
1737021795000,6.0
1737021800000,6.0
1737021805000,6.0
1737021810000,7.0
1737021815000,7.0
1737021820000,6.0
1737021825000,4.0
1737021830000,4.0
1737021835000,3.0
1737021840000,3.0
1737021845000,3.0
1737021850000,3.0
1737021855000,1.0
1737021860000,1.0
1737021865000,1.0
1737021870000,0.0
1737021875000,0.0
1737021880000,0.0
1737021885000,0.0
1737021890000,0.0
1737021895000,0.0
1737021900000,0.0
1737021905000,0.0
1737021910000,0.0
1737021915000,0.0
1737021920000,0.0
1737021925000,0.0
1737021930000,
1737021955000,0.0
1737021960000,0.0
1737021965000,0.0
1737021970000,19.0
1737021975000,19.0
1737021980000,22.0
1737021985000,19.0
1737021990000,16.0
1737021995000,14.0
1737022000000,12.0
1737022005000,11.0
1737022010000,10.0
1737022015000,9.0
1737022020000,9.0
1737022025000,9.0
1737022030000,4.0
1737022035000,3.0
1737022040000,0.0
1737022045000,0.0
1737022050000,0.0
1737022055000,0.0
1737022060000,0.0
1737022065000,0.0
1737022070000,1.0
1737022075000,1.0
1737022080000,1.0
1737022085000,1.0
1737022090000,1.0
1737022095000,1.0
1737022100000,1.0
1737022105000,1.0
1737022110000,2.0
1737022115000,2.0
1737022120000,2.0
1737022125000,2.0
1737022130000,2.0
1737022135000,2.0
1737022140000,2.0
1737022145000,2.0
1737022150000,2.0
1737022155000,2.0
1737022160000,2.0
1737022165000,2.0
1737022170000,1.0
1737022175000,1.0
1737022180000,1.0
1737022185000,1.0
1737022190000,0.0
1737022195000,0.0
1737022200000,1.0
1737022205000,1.0
1737022210000,
1737022235000,0.0
1737022240000,0.0
1737022245000,0.0
1737022250000,0.0
1737022255000,0.0
1737022260000,0.0
1737022265000,0.0
1737022270000,0.0
1737022275000,0.0
1737022280000,0.0
1737022285000,0.0
1737022290000,0.0
1737022295000,0.0
1737022300000,0.0
1737022305000,0.0
1737022310000,0.0
1737022315000,0.0
1737022320000,0.0
1737022325000,0.0
1737022330000,0.0
1737022335000,0.0
1737022340000,0.0
1737022345000,0.0
1737022350000,0.0
1737022355000,0.0
1737022360000,0.0
1737022365000,0.0
1737022370000,0.0
1737022375000,0.0
1737022380000,0.0
1737022385000,0.0
1737022390000,0.0
1737022395000,0.0
1737022400000,0.0
1737022405000,0.0
1737022410000,1.0
1737022415000,1.0
1737022420000,1.0
1737022425000,1.0
1737022430000,1.0
1737022435000,1.0
1737022440000,1.0
1737022445000,1.0
1737022450000,1.0
1737022455000,1.0
1737022460000,1.0
1737022465000,1.0
1737022470000,0.0
1737022475000,0.0
1737022480000,0.0
1737022485000,0.0
1737022490000,
1737022515000,0.0
1737022520000,0.0
1737022525000,0.0
1737022530000,0.0
1737022535000,0.0
1737022540000,0.0
1737022545000,0.0
1737022550000,3.0
1737022555000,2.0
1737022560000,2.0
1737022565000,3.0
1737022570000,2.0
1737022575000,2.0
1737022580000,2.0
1737022585000,2.0
1737022590000,2.0
1737022595000,2.0
1737022600000,2.0
1737022605000,2.0
1737022610000,0.0
1737022615000,0.0
1737022620000,0.0
1737022625000,0.0
1737022630000,0.0
1737022635000,0.0
1737022640000,0.0
1737022645000,1.0
1737022650000,1.0
1737022655000,2.0
1737022660000,2.0
1737022665000,2.0
1737022670000,3.0
1737022675000,3.0
1737022680000,3.0
1737022685000,3.0
1737022690000,3.0
1737022695000,3.0
1737022700000,4.0
1737022705000,3.0
1737022710000,4.0
1737022715000,2.0
1737022720000,2.0
1737022725000,2.0
1737022730000,2.0
1737022735000,2.0
1737022740000,2.0
1737022745000,2.0
1737022750000,2.0
1737022755000,2.0
1737022760000,
