,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1737807370000,0.0
1737807375000,0.0
1737807380000,4.0
1737807385000,159.0
1737807390000,360.0
1737807395000,614.0
1737807400000,678.0
1737807405000,888.0
1737807410000,900.0
1737807415000,1000.0
1737807420000,1000.0
1737807425000,1000.0
1737807430000,1000.0
1737807435000,1000.0
1737807440000,1000.0
1737807445000,1000.0
1737807450000,1000.0
1737807455000,1000.0
1737807460000,1000.0
1737807465000,1000.0
1737807470000,1000.0
1737807475000,1000.0
1737807480000,1000.0
1737807485000,1000.0
1737807490000,1000.0
1737807495000,1000.0
1737807500000,1000.0
1737807505000,1000.0
1737807510000,1000.0
1737807515000,1000.0
1737807520000,1000.0
1737807525000,1000.0
1737807530000,1000.0
1737807535000,1000.0
1737807540000,1000.0
1737807545000,1000.0
1737807550000,1000.0
1737807555000,1000.0
1737807560000,1000.0
1737807565000,1000.0
1737807570000,1000.0
1737807575000,1000.0
1737807580000,1000.0
1737807585000,1000.0
1737807590000,1000.0
1737807595000,1000.0
1737807600000,1000.0
1737807605000,1000.0
1737807610000,1000.0
1737807615000,
