,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,2
Timestamp,
1737807050000,0.0
1737807055000,4.0
1737807060000,5.0
1737807065000,107.0
1737807070000,341.0
1737807075000,553.0
1737807080000,628.0
1737807085000,826.0
1737807090000,842.0
1737807095000,859.0
1737807100000,873.0
1737807105000,1000.0
1737807110000,1000.0
1737807115000,1000.0
1737807120000,1000.0
1737807125000,1000.0
1737807130000,1000.0
1737807135000,1000.0
1737807140000,1000.0
1737807145000,1000.0
1737807150000,1000.0
1737807155000,1000.0
1737807160000,1000.0
1737807165000,1000.0
1737807170000,1000.0
1737807175000,1000.0
1737807180000,1000.0
1737807185000,1000.0
1737807190000,1000.0
1737807195000,1000.0
1737807200000,1000.0
1737807205000,1000.0
1737807210000,1000.0
1737807215000,1000.0
1737807220000,1000.0
1737807225000,1000.0
1737807230000,1000.0
1737807235000,1000.0
1737807240000,1000.0
1737807245000,1000.0
1737807250000,1000.0
1737807255000,1000.0
1737807260000,1000.0
1737807265000,1000.0
1737807270000,1000.0
1737807275000,1000.0
1737807280000,1000.0
1737807285000,1000.0
1737807290000,1000.0
1737807295000,
