,flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond
,1
Timestamp,
1737535800000,0.0
1737535805000,0.0
1737535810000,0.0
1737535815000,0.0
1737535820000,0.0
1737535825000,0.0
1737535830000,70.0
1737535835000,194.0
1737535840000,302.0
1737535845000,484.0
1737535850000,541.0
1737535855000,587.0
1737535860000,799.0
1737535865000,815.0
1737535870000,899.0
1737535875000,1000.0
1737535880000,1000.0
1737535885000,1000.0
1737535890000,1000.0
1737535895000,1000.0
1737535900000,1000.0
1737535905000,1000.0
1737535910000,1000.0
1737535915000,1000.0
1737535920000,1000.0
1737535925000,
1737535945000,0.0
1737535950000,0.0
1737535955000,1000.0
1737535960000,1000.0
1737535965000,1000.0
1737535970000,1000.0
1737535975000,1000.0
1737535980000,1000.0
1737535985000,1000.0
1737535990000,1000.0
1737535995000,1000.0
1737536000000,1000.0
1737536005000,1000.0
1737536010000,1000.0
1737536015000,1000.0
1737536020000,1000.0
1737536025000,1000.0
1737536030000,1000.0
1737536035000,1000.0
1737536040000,
